,Abstract,Advisor,Advisor_Major,Student_Major,Student_Year,Students,Title,Year
10,"People often gesture while talking. But does gesture make talking easier? Previously, we demonstrated that some individuals show enhanced word retrieval while gesturing. The current within-subjects study examined the interaction between working memory and gesture in word retrieval. Thirty-eight monolinguals completed two working memory tasks and named two sets of pictures. For one set, participants were allowed to gesture (GA); for the other their gestures were inhibited (GI). There were no diï¬€erences between the GA and GI conditions in the number of successfully retrieved words. But the ability to successfully resolve a tip-of-the-tongue state (ToT) while in the GI condition positively correlated with auditory working memory, but not spatial working memory; individuals with poorer auditory working memory relied on gestures to help them resolve their ToTs. These results indicate that gesture plays a role in language production, but only for those whose auditory working span cannot support rapid word retrieval. (Research supported by a Howard Hughes Medical Institute Research Grant, the Oï¬ƒce of the Dean of the  College, and the Radcliï¬€e Institute for Advanced Studies.)","ADVISOR: Jennie E. Pyers, Psychology",Psychology,"Cognitive and Linguistic Sciences, Cognitive and Linguistic Sciences, Psychology","2010, 2011, 2012","Masa Dikanovic, Sam Grossmith, Rachel Magid",Working Memory and Gesture in Word Retrieval,2010
11,"The current study examines how signers of American Sign Language (ASL) prefer to describe spatial relations. ASL can convey spatial relations in two ways. First, ASL has spatial prepositions like ON and UNDER. Alternatively, signers can use classifier constructions to iconically describe spatial relations. To sign, â€œthe cup is on the table,â€ù the signer places one hand representing the cup on the other hand representing the table. To depict â€œthe cup is under the tableâ€ù the signer moves the â€œcupâ€ù hand under the â€œtable hand.â€ù Thirty-one native signersâ€™ descriptions of 77 short videos depicting spatial relations were coded for whether prepositions, classiï¬Åer constructions, or both were used. ASL signers overwhelmingly preferred to use classiï¬Åer constructions (93%) over prepositions (.02%). Sometimes they used a combination of both (6%). The preference for classiï¬Åers likely stems from the fact that they simultaneously express object and spatial information, while prepositions only express the latter. (Research supported by the Oï¬ƒce of the Dean of the College and the Radcliï¬€e Institute for Advanced Study.)","ADVISOR: Jennie E. Pyers, Psychology",Psychology,Cognitive Neuroscience,2010,Jenny Lu,Talking about Spatial Relations in a Sign Language,2010
12,"Since its discovery in 1981, AIDS has killed more than 25 million people. In 2005 alone, there were 4.1 million new HIV-1 infections and 2.8 million AIDS deaths. Currently, antiretroviral treatment is the best option for long-lasting viral suppression and reduction of morbidity and mortality. Our current research focuses on APOBEC3G, a human protein, that is an attractive lead for treatment. APOBEC3G interferes with HIV replication by inducing many deoxycytidine to deoxyuridine mutations on HIV DNA as the virus replicates via reverse transcription. Unfortunately, lentiviruses, such as HIV, have evolved the Viral infectivity factor (Vif) protein in order to counteract this eï¬€ect by triggering ubiquitination and degradation of APBOEC3G via the proteasomal pathway. In order to study the APOBEC3G/Vif relationship, a Tetracycline-responsive system and Ecdysone-inducible promoter system was designed. This cell line would help determine the eï¬€ect of diï¬€erent APOBEC3 cytidine deaminase expression levels on HIV and its diversiï¬Åcation.","ADVISOR: Donald Elmore, Chemistry",Chemistry,Biochemistry,2011,Jenny Chang,Designing an Inducible APOBEC3G Cell Line to Combat HIV,2010
13,"The ovarian steroid hormone, progesterone, acts in the brain to profoundly inï¬‚uence a variety of physiological processes and behaviors, including development, reproduction, and cognition. Progesterone elicits many of these biological eï¬€ects by binding to progestin receptors (PR), which are a member of a superfamily of nuclear transcriptional activators. PR are expressed in two forms, full length PR-B and truncated PR-A, that are transcribed from the same gene. With the recent advancement in powerful genetic approaches to manipulate and examine the mouse genome and proteome, the mouse model provides a sophisticated experimental model for studying mechanisms of progesterone action in brain. In this study, a mouse-on-mouse pull-down assay was developed to examine the physical interactions between GST-tagged mouse PR subtypes and coactivators from mouse brain. By taking a proteomic-based approach, we hope to identify other coactivators and potentially novel proteins that physically interact with PR subtypes to mediate progesterone action in the brain.","ADVISOR: Marc Tetel, Neuroscience",Neuroscience,"Neuroscience, Biological Chemistry","2010, 2012","DaEun (Dana) Im, Jennifer Wan",Understanding Hormone Actions in the Brain: Interactions between Mouse Progestin Receptor Subtypes and Steroid Receptor Coactivators,2010
14,"Under low light chloroplasts spread out within a cell in order to maximize light interception (accumulation response); at high light they move to the edges of the cells minimizing light interception (avoidance response). A comparison of 10 widely diï¬€erent plant species showed that while all plants showed accumulation and avoidance responses, the kinetics and the magnitudes of chloroplast movement were signiï¬Åcantly diï¬€erent. Weedy species exhibited fast chloroplast movement, while shade adapted plants were slow movers. We are examining morphological characteristics and genetic  diï¬€erence in the sequences of proteins that are involved in chloroplast movement in hopes of explaining the reasons for these  diï¬€erences in behavior. We are also determining the relative importance of chloroplast movement to high light stress tolerance amongst this range of species. (Research supported by the Georgeanne Miller Mulhern Summer Research Fund for Student/Faculty Research in the Sciences.)","ADVISOR: Martina KÃ¶niger, Biological Sciences",Biological Sciences,"Biological Sciences, Biochemistry, Biological Sciences","2010, 2010, 2011","Nicole Bollinger, Sun-Mee Paik, Galina Oinking",Characterizing Chloroplast Movement in Various Plant Species,2010
15,"Molting, or the shedding of the epidermis, is crucial to insect growth and development. Although the mechanism underlying the secretion of the molting hormone, ecdysone, is known, the factors regulating its expression and the timing of the molt remain poorly understood. To examine whether certain nutrients obtained from diets are responsible for the initiation of the molt, fourth instar Manduca sexta larvae were fed diets of varied nutrient concentrations and composition until they molted. Results showed a direct correlation between the amount of protein intake and the duration of molting. Sucrose, however, failed to induce a molt. Amino acids, coupled with TOR signaling therefore may play a key role in regulating the molting process. Investigations on the link between amino acids and the endocrine regulation of molting are underway. (Research supported by the Sherman Fairchild Foundation, Mentoring in Science Program (MSP), and Brachman Hoï¬€man Fund.)","ADVISOR: Yuichiro Suzuki, Biological Sciences",Biological Sciences,Biological Sciences  and Spanish,2012,Karen Kemirembe,Nutrient Dependent Regulation  of the Timing of the Molt in Manduca sexta Larvae,2010
16,"Complex traits, such as body pigmentation, often exhibit phenotypic plasticity, the ability of a genotype to produce contrasting phenotypes in diï¬€erent environments. Yet the mechanism underlying phenotypic plasticity is not well understood. To begin to investigate the regulation of phenotypic plasticity in abdominal pigmentation of the milkweed bug, Oncopeltus fasciatus, the roles of Hox genes were investigated. The knockdown of Abd-B Hox gene expression through RNA interference (RNAi) resulted in increased abdominal pigmentation, indicating that Abd-B likely plays a repressive role in the temperature sensitive regulation of abdominal coloration. Furthermore, bugs injected with Abd-A double-stranded RNA developed into adults that completely lacked abdominal pigmentation, indicating that Abd-A most likely plays an important role in the generation of the black pattern. Analyses of genetic interactions between these two Hox genes and the temperature sensitivity of Hox gene expression are currently underway. (Funded by Howard Hughes Medical Institute Grant, Mentoring in Science Program (MSP), and Brachman Hoï¬€man Fund.)","ADVISOR: Yuichiro Suzuki, Biological Sciences",Biological Sciences,Biological Chemistry,2012,Aabha Sharma,The Role of Temperature and Hox Genes on the Regulation of Abdominal Pigmentation in Oncopeltus fasciatus,2010
17,"Normal organismal development requires the correct timing of developmental events, and coordination of these events is a result of programmed changes in gene expression. One gene implicated in the temporal organization of development encodes for the transcriptional regulator Abrupt. Much of what is known about its role comes from Drosophila studies: repression of Abrupt in ï¬‚y abdominal muscles during pupal development prevents progression to the adult stage, and Abrupt may temporally regulate border cell motility through ecdysone signaling in ï¬‚y ovaries. To examine the evolutionary conservation of the function of this gene, the eï¬€ect of removal of Abrupt was examined in the beetle Tribolium casteneum using RNA interference (RNAi). Abrupt RNAi resulted in phenotypes that included precocious eye development, reduction in pupal wings, and fusion of adjacent segments of the antennae. Further investigation on the expression of Abrupt in Tribolium development and its potential interactors are underway. (Research supported by the Oï¬ƒce of the Dean of the College.)","ADVISOR: Yuichiro Suzuki, Biological Sciences",Biological Sciences,Biological Sciences  and Economics,2010,Christie Sze,"Protein Abrupt during Larval and Pupal Development of the Beetle, Tribolium casteneum",2010
18,"In both invertebrates and vertebrates, ï¬Åbroblast growth factors (FGFs) regulate fundamental cellular activities, including proliferation, cell adhesion, migration, diï¬€erentiation, and apoptosis. However,  the roles of FGFs in the postembryonic development of insects remains to be characterized. To elucidate the developmental roles of Fgfs and the ï¬Åbroblast growth factor receptor (Fgfr) in larvae of the beetle Tribolium castaneum, RNA interference (RNAi) was used to deplete the four Fgf genes (Fgf1a, Fgf1b, Fgf8, and Bnl) and Fgfr gene products in the last larval stage. The knockdowns of Bnl and Fgfr both produced defects in cuticle scleritization and texture in the larval and pupal stages. The knockdown of Fgf8 resulted in disrupted gut tracheation in the adult stage. In contrast, the Fgf1a  and Ffg1b knockdowns did not produce  any morphological changes. Experiments  to determine the eï¬€ects of Fgfr and Bnl knockdowns on epidermal cell proliferation, tracheal development, and leg regeneration are underway. (Research supported by the Oï¬ƒce of the Dean of the College.)","ADVISOR: Yuichiro Suzuki, Biological Sciences",Biological Sciences,Biological Sciences,2010,Emilie Mitten,Fibroblast Growth Factor Maintains the Integrity of the Epidermis in Tribolium Larvae and Pupae,2010
19,"The Elmore Lab studies a variety of membrane proteins that mediate important cellular processes. Buforin II is a histone-derived antimicrobial peptide. To better understand buforin II, the antimicrobial activity, translocation, membrane permeabilization and DNA binding of several mutants were measured. In addition, three novel peptides based on histone fragments were characterized. A novel family of bacterial cyclic nucleotide gated (bCNG) ion channels was recently identiï¬Åed and computer homology models of these channels were created. Experimental crosslinking and downshock studies have been used to conï¬Årm the models and to determine if bCNG channels should be considered part of a larger channel superfamily. Patellin1 (PATL1), a protein recently described by the Peterman lab, binds phosphoinositides with a strong preference for PtdIns5P. A series of modeling and spectroscopic studies in the group are investigating phosphoinositide binding of the PATL1 SEC14 domain.","ADVISOR: Donald Elmore, Chemistry",Chemistry,"Computer Science, Biological Chemistry, Biological Chemistry, Biological Chemistry, Chemistry, Biological Chemistry, Biological Chemistry and Spanish, Biological Chemistry","2012, 2010, 2010, 2010, 2011, 2012, 2011, 2010","a Daigle, CarolAnn Ferris, Ryann Guayasamin, Jessica Hawkins, Yoon-Young Heo, Kathryn Pavia, Sara  Spinella, Yang Xie",Players in the Lipid Layers: Studies of Membrane Proteins,2010
20,"The Davis Museum is a hub of artistic and cultural opportunity on the Wellesley campus, granting community members ï¬Årsthand access to world-class art. However, members of the staï¬€ and the student body have noticed a trend: when not required or rewarded with food, student museum attendance is surprisingly low.Over the course of last semesterâ€™s CS349: Tangible User Interfaces, we investigated how the use of advanced multi-touch user interface technology might enhance the Davis Museum visiting experience and attract more visitors. While surveying the use of cutting-edge technology by other museums, we developed three complementary prototypes for the Davis Museum: an iPhone application, and two applications on top of the Microsoft Surface, a coï¬€ee table sized multi-touch display.We believe that these applications hold a potential to increase personal and social engagement within the museum. Currently, we are further developing these prototypes and hope to evaluate them in the Davis Museum later in the semester.","ADVISOR: Orit Shaer, Computer Science",Computer Science,"Media Arts and Sciences, Media Arts and Sciences, Computer Science","2010, 2011, 2010","Lia Napolitano, MaCherie Edwards, Megan Strait",Enhancing the Museum Experience through Advanced User Interfaces,2010
21,"Diabetes, a disease aï¬€ecting over 24 million Americans and accruing an annual cost of 174 billion dollars in 2007, remains one of the most widespread diseases in the United States. Current treatments attempt to stimulate pancreatic insulin production, yet external insulin injections often become necessary. The Haines lab studies the insulin induction pathway through the incretin hormone, GLP-1. One project focuses on how the structure of GLP-1 binds to and activates its receptor (GLP-1R). We are also exploring the structure of GLP-1R through a small molecule antagonist. Ultimately, the results from each of these projects will be used for future medical applications. (Research supported the Howard Hughes Medical Institute and the Staley Fund for Cancer-related Research.)","ADVISOR: David R. Haines, Chemistry",Chemistry,"Chemistry, Chemistry, Chemistry","2010, 2010, 2011","Madeleine Kieffer, Zoe Samer, Tehsina Devji",How Chemists Study Diabetes,2010
22,"This panel presentation will discuss student work addressing major topics in neurogenesis research. Adult neurogenesis is the lifelong birth and proliferation of neurons in adult brains. Our lab uses a crustacean model to investigate the mechanisms that underlie this process. We will present external factors that may inï¬‚uence neurogenesis, and their clinical implications. One of these factors is lithium, a popular treatment for bipolar disorder and treatment-resistant depression. Another factor we studied is how environmental enrichment may inï¬‚uence numbers of precursor cells in the brain. Lastly, we will be addressing the connection between blood and brain. In particular, we will focus on whether cells originating in the hematopoietic tissue, circulating in the blood, transform into neural precursors.","ADVISOR: Barbara S. Beltz, Neuroscience",Neuroscience,"Neuroscience, Neuroscience and Middle Eastern Studies, Neuroscience, Neuroscience","2010, 2010, 2011, 2012","Neishay Ayub, Zehra  Omer, Lindsey Migliore, Rachel Kery","NO, Blood to Brain! ",2010
23,"Participation in science-ï¬Åction fan culture is more socially acceptable today than ever before. With the widespread popularity of new science ï¬Åction, fantasy, supernatural and comic book-inspired blockbusters, and the popularity of â€œgeek chicâ€ù, the face of fandom is changing. What was once counter-cultural, even deviant, is now trendy. While many still see fandom as a lifestyle, with its own traditions and world-view, the fan com-munity is expanding to include an increasing number of casual participants. Nowhere is this change more visibly apparent than at fan conventions. Traditionally a place to meet up with like-minded individuals and celebrate common interests, conventions like Arisia in Cambridge incorporate an ever-increasing variety of fan expressionâ€”from classic literature buï¬€s and ï¬Ålkers to steampunks and otaku. Does this shift create a rift between older and younger fans? Or does it add diversity to a once-stagnant subculture?","ADVISOR: Caitrin Lynch, Anthropology (Olin)",Anthropology (Olin),Anthropology and Japanese Language and Literature,2010,Molly Dunn,Geek/Chic: Intergenerational Dynamics in the Science Fiction Fan Community,2010
24,"Many students believe that declaring their major ï¬Åeld of study is one of the most important decisions they will make while in college. My presentation will use data collected for the New England Consortium on Assessment and Student Learning (NECASL) to explore why students hold a variety of attitudes about the sense of community within their major. Students who experienced a sense of community in their major and believed that they were a part of that community were aï¬€ected diï¬€erently by the size of majors, double-majors/minors, interdepartmental majors and eï¬€orts by major departments to foster community than those who felt that there was not a sense of community in their major. (Research supported by a Sophomore Early Research grant from the Oï¬ƒce of the Dean of the College.)","ADVISOR: Lee Cuba, Sociology",Sociology,Sociology and Spanish,2012,Dorthea Damaskos,Do Students Find Community within Their Major?,2010
25,"The last several years has seen a renewed interest in popular commemoration of the 1969 Woodstock Music and Arts Festival. Despite this avalanche of coï¬€ee table books and special edition posters, little academic scrutiny has been given to the relationship between Woodstock and the late 60s American counterculture at the time of the festival. Through the analysis of oral histories, memoirs, musical performances, documentary footage and underground press coverage, this study will illustrate how Woodstock functioned as an important symbolic and physical space for participatory exploration and reinforcement of pre-industrial ideals within the counterculture. This study will also explore how manifestations of the tension between the politically militant and bohemian factions of the counterculture, and the tumultuous relationship between rock music and social activism were also inextricable components of Woodstockâ€™s contribution to 60s cultural radicalism. (Research supported by the Mellon Mays Undergraduate Fellowship.)","ADVISOR: Michael Jeffries, American Studies",American Studies,American Studies,2010,Jeanine Navarrete,â€œSlouching Towards Bethelâ€ù: Woodstock and the American Counterculture,2010
26,"Community-based organizations often collaborate with schools and parents to improve the public education system in their communities. Parent involvement provides community organizers with the basis for eï¬€ective collective action for change. However, engaging marginalized parents to advocate for their childrenâ€™s education is very diï¬ƒcult. A case study of the Boston Parentâ€™s Organizing Network (BPON) looks at both the successes and challenges in community organizing around education issues in Boston. For the past ten years, BPON has been working with parents to improve the quality of education in the Boston Public Schools. Through an ethnographic methodology, interviews, and history of education in Boston and BPON, the study will look at what factors inï¬‚uence the success of community organizing around education in Boston. (Research supported by the Barnette Miller Fund.)","ADVISOR: Wilbur Rich, Political Science",Political Science,Political Science,2010,Jessica J. Lee,Community Organizing in Boston: Engaging Parents to Improve the Quality of Education,2010
27,"Did you know that Koreans have been migrating to Russia since the 1860s? They mostly settled in the Russian Far East and by the early 1900s, there were more than 300,000 Koreans in the region. However, in 1937, Stalin forcefully removed approximately 180,000 Koreans from the Russian Far East to Central Asia. These deported Koreans are known as Koryo Saram and the majority of Koryo Saram have been living in Central Asia for the past 70 years. However, since the disintegration of the Soviet Union, the Koryo Saram in Central Asia are facing language, religious, and ethnic discrimination as they try to adapt in the newly formed republics of Kazakhstan and Uzbekistan. This presentation examines the lives and identities of Koryo Saram and the rise of the Korean Movement since the disintegration.","ADVISOR: Philip Kohl, Anthropology",Anthropology,Russian Area Studies and Anthropology,2010,Jessica Yoo,Youâ€™re a Korean from Where???,2010
28,"Harriet Beecher Stoweâ€™s anti-slavery novel Uncle Tomâ€™s Cabin is often cited as one of American literatureâ€™s most successful social justice works. It is also agreed among literary critics to be one of the most racist works of American ï¬Åction. In the novel Stowe pronounces evils of slavery while providing stereotypical depictions of black characters. Stoweâ€™s sentimental writing style results in her attributing a great deal of sentimental integrity to the African race. This is countered by her belief in racial essentialism. The end result? An anti-slavery novel that is benevolently racist, esteeming the African race while carefully assuring the superiority of white America. These factors, as well as others, are responsible for making Uncle Tomâ€™s Cabin a novel that galvanized a nation and caricatured a people, which is perhaps why it is one of the most telling and meaningful works of American literature today.","ADVISOR: Elisabeth Ford, English",English,English and Classical Civilization,2010,Erica Richardson,Benevolent Racism: An Analysis of the Construction of Race in Uncle Tomâ€™s Cabin,2010
29,"At the turn of the twentieth century, Japan was undergoing a process of rapid modernization and Westernization. Consequently, Japanese society was fraught with tensionâ€”tension between East and West, tradition and modernity, the government and the individual, and public and private personas. Postcard images of women were part and parcel of the tensions that occurred as Japan sought out a new modern identity. Women, as the symbolic face of the nation, were at the center of the debates about the direction of Japanese society. The diversity of these postcard images is indicative not only of the renegotiation of Japanese society at this time, but also of the active role postcards played in helping transcend previous social boundaries by oï¬€ering women new identity options. Two Worlds, One Subaltern: Oppression of the Subaltern in Spanish Medieval and Colonial Literature","ADVISOR: Heping Liu, Art",Art,Art History,2010,Lillian Wies,"Identity for the Modern Era: Images of Women in Japanese Postcards, 1900â€“1930",2010
30,"Subaltern groups have often been written about and spoken for, but what is it that has historically qualiï¬Åed them to be classiï¬Åed as such? Women in medieval Spanish literature are often portrayed as having no voice of their own or as using their cunning to gain agency. Indigenous tribes of the â€œNew Worldâ€ù were depicted in Spanish colonial literature as those who need to be saved by Spanish culture, language, and religion. These two groups occupy two diï¬€erent sections of history and humanity, but they share membership in the world of the subaltern and a struggle to (re)gain their voices. Writers of this literature had various motives and messages, but all contributed to a legacy that still remains today. What about this literature is problematic for the aforementioned groups? What challenges do they face by being part of a history and discourse that they had little to no hand in writing?","ADVISOR: Elena GascÃ_n-Vera, Spanish",Spanish,Spanish,2010,Zahra Mohamed,"Two Worlds, One Subaltern: Oppression of the Subaltern in Spanish Medieval and Colonial Literature",2010
31,"Climate change is a major global issue that will greatly aï¬€ect the worldâ€™s population in the coming decades. As temperatures rise in regions around the world, millions of people will face increased food and water insecurity. The worldâ€™s economy will also suï¬€er trillions of dollars in damage. In their paper to the Copenhagen Consensus challenge, Gary Yohe et al. articulate the challenges presented by climate change and the various policies that could potentially limit carbon emissions and temperature increases over the next century. In our presentation, we will discuss their ï¬Åndings regarding the impacts of climate change on the food supply, the geographic make-up of each continent, and various species, over the next several centuries. While climate change cannot be prevented, we will present potential solutions to deal with its eï¬€ects today and into the future.","ADVISOR: Joseph P. Joyce, Economics",Economics,"Economics, Economics","2010, 2010","Hannah Dornbusch, Hilary Gram","Global Crises, Global Solutions: Climate Change",2010
32,"Globalization has brought new technologies to developing economies, placing a premium on higher skills. As a result, developing nations must extend education, especially primary education, to their entire populations in order to fully capitalize on opportunities brought to their countries through increased international trade and ï¬Ånancial integration. This presentation will discuss education as a public good and analyze the role of the public sector in providing education. Economists agree that education improves social welfare universally through increased positive returns to wage earners; still, some wonder whether the externalities from schooling truly justify full government subsidies. In addition to exploring supply-side interventions, like the construction of new schools, and demand-side interventions, like voucher programs, the presentation will consider the cost-eï¬€ectiveness of these initiatives, especially in developing nations, and question the validity of education as a global public good.","ADVISOR: Joseph P. Joyce, Economics",Economics,"Economics, Economics, Economics and Mathematics","2010, 2010, 2010","K. Sooah Cho, Darshini Patel, Soumya Srinagesh",Educational Outcomes:  How Can Education Reduce Income Inequality in a Period of Accelerating Globalization?,2010
